1,H,0.0000899
2,He,0.0001785
3,Li,0.535
4,Be,1.848
5,B,2.46
6,C,2.26
7,N,0.001251
8,O,0.001429
9,F,0.001696
10,Ne,0.0009
11,Na,0.968
12,Mg,1.738
13,Al,2.7
14,Si,2.33
15,P,1.823
16,S,1.96
17,Cl,0.003214
18,Ar,0.001784
19,K,0.856
20,Ca,1.55
21,Sc,2.985
22,Ti,4.507
23,V,6.11
24,Cr,7.14
25,Mn,7.47
26,Fe,7.874
27,Co,8.9
28,Ni,8.908
29,Cu,8.92
30,Zn,7.14
31,Ga,5.904
32,Ge,5.323
33,As,5.727
34,Se,4.819
35,Br,3.12
36,Kr,0.00375
37,Rb,1.532
38,Sr,2.63
39,Y,4.472
40,Zr,6.511
41,Nb,8.57
42,Mo,10.28
43,Tc,11.5
44,Ru,12.37
45,Rh,12.45
46,Pd,12.023
47,Ag,10.49
48,Cd,8.65
49,In,7.31
50,Sn,7.31
51,Sb,6.697
52,Te,6.24
53,I,4.94
54,Xe,0.0059
55,Cs,1.879
56,Ba,3.51
57,La,6.146
58,Ce,6.689
59,Pr,6.64
60,Nd,7.01
61,Pm,7.264
62,Sm,7.353
63,Eu,5.244
64,Gd,7.901
65,Tb,8.219
66,Dy,8.551
67,Ho,8.795
68,Er,9.066
69,Tm,9.321
70,Yb,6.57
71,Lu,9.841
72,Hf,13.31
73,Ta,16.65
74,W,19.25
75,Re,21.02
76,Os,22.59
77,Ir,22.56
78,Pt,21.09
79,Au,19.3
80,Hg,13.534
81,Tl,11.85
82,Pb,11.34
83,Bi,9.78
84,Po,9.196